Verify rank,Business,Category,Owner,Phone,Email,Website,Yelp URL,Response Time,resp_hours,GHL status,GHL contact,Old likelihood,Score v2,Score reasons,Advertiser? (Kevin),Recent RAQs (Kevin),Verdict (keep/drop)
78,Phoenix Windows and Doors,Windows & Doors,,(602) 899-6260,,https://phoenixazwindowsanddoors.com,,>2 hours,2,never_emailed,https://app.gohighlevel.com/v2/location/JLycxFbUVQFY3z4zPpCS/contacts/detail/AWRt6v9PvjGhYZKuv5pk,4,55,"responds in 2h, already fast (+5); phone (+15); website (+10); in GHL, never emailed (+15)",,,
79,Professional Window Cleaning,Window Cleaning,,(480) 839-1707,,https://www.getmywindowsclean.com,https://www.yelp.com/biz/professional-window-cleaning-phoenix,>2 hours,2,never_emailed,https://app.gohighlevel.com/v2/location/JLycxFbUVQFY3z4zPpCS/contacts/detail/9RQX66AnHeETCNMa7Aiw,4,55,"responds in 2h, already fast (+5); phone (+15); website (+10); in GHL, never emailed (+15)",,,
80,Ready Go Handyman LLC,Handyman Services,,(623) 284-4269,,,https://www.yelp.com/search?cflt=handyman&find_loc=Phoenix%2C+AZ,5 hours,5,not_in_ghl,,3,55,responds in 5h (+20); phone (+15); not in GHL yet (+10),,,
81,Responsible Landscaping,Landscaping,,(602) 423-4473,,,https://www.yelp.com/biz/responsible-landscaping-phoenix,4 hrs,4,not_in_ghl,,3,55,responds in 4h (+20); phone (+15); not in GHL yet (+10),,,
82,Sal's Landscape Construction,Landscaping,Sal,480-501-9155,,,https://www.yelp.com/biz/sal-s-landscape-construction-phoenix,Unknown - needs verification,,call_now,https://app.gohighlevel.com/v2/location/JLycxFbUVQFY3z4zPpCS/contacts/detail/Y4hCNM952439m1EpQTCK,4,55,"response unknown (+10); phone (+15); sequence finished, warm (+20)",,,
83,SOl Seekers,Landscaper,Dave,(623) 335-5157,,Solseekerslandscaping.com,,3 hours,3,not_in_ghl,,,55,responds in 3h (+20); phone (+15); not in GHL yet (+10),,,
84,Squeeky Kleen Windows,Window Cleaning,Not specified,(480) 221-1240,,https://squeekykleenwindows.com/,Not available - found via Google search,Not specified (assumed >2 hours),2,never_emailed,https://app.gohighlevel.com/v2/location/JLycxFbUVQFY3z4zPpCS/contacts/detail/52SdkwW9BhhXknlWUTNl,4,55,"responds in 2h, already fast (+5); phone (+15); website (+10); in GHL, never emailed (+15)",,,
85,Stonecreek Roofing,Roofing,David Prestwich,(602) 324-3400,,https://stonecreekroofingaz.com,https://www.yelp.com/biz/stonecreek-roofing-phoenix,2 hours,2,never_emailed,https://app.gohighlevel.com/v2/location/JLycxFbUVQFY3z4zPpCS/contacts/detail/f6thInXhiGrg2MCVlcVK,4,55,"responds in 2h, already fast (+5); phone (+15); website (+10); in GHL, never emailed (+15)",,,
86,TPG Home Services,Home Services/Handyman,,(602) 400-2369,,,https://www.yelp.com/biz/tpg-home-services-phoenix,4 hours,4,not_in_ghl,,3,55,responds in 4h (+20); phone (+15); not in GHL yet (+10),,,
87,Your Window Guy,Window Cleaning,,(602) 538-1535,,,https://www.yelp.com/search?cflt=windowwashing&find_loc=Phoenix%2C+AZ,4+ hours,4,not_in_ghl,,3,55,responds in 4h (+20); phone (+15); not in GHL yet (+10),,,
88,"Affordable Windows, Doors & More",Windows & Doors,,,,,https://www.yelp.com/search?find_desc=Window+Screens&find_loc=Sahuarita%2C+AZ,2 days,48,not_in_ghl,,2,50,responds in 2d (+40); not in GHL yet (+10); CSV scored 2/5 (-10),,,
89,Anthem Handyman Services,Handyman,Tom J. (Tom Janko),,,,https://www.yelp.com/biz/anthem-handyman-services-anthem-3,12 hrs,12,not_in_ghl,,4,50,responds in 12h (+30); not in GHL yet (+10),,,
90,Arizona's Blind Brothers,Window Treatment Store,,(480) 548-2224,,,,Not specified,,never_emailed,https://app.gohighlevel.com/v2/location/JLycxFbUVQFY3z4zPpCS/contacts/detail/Yfbn5bHbBBY5Bp1HylXM,4,50,"response unknown (+10); phone (+15); in GHL, never emailed (+15)",,,
91,AZ Blinds Express,Shades & Blinds,,,,https://azblindsexpress.com/phoenix/,,Unknown - needs verification,,call_now,https://app.gohighlevel.com/v2/location/JLycxFbUVQFY3z4zPpCS/contacts/detail/mqQnYEQ7KPGs6YCrg0tn,4,50,"response unknown (+10); website (+10); sequence finished, warm (+20)",,,
92,Blue Sky Window Cleaning & Landscaping Services,Window Cleaning & Landscaping,,(602) 386-7380,,,https://www.yelp.com/biz/blue-sky-window-cleaning-and-landscaping-services-phoenix,Unknown,,never_emailed,https://app.gohighlevel.com/v2/location/JLycxFbUVQFY3z4zPpCS/contacts/detail/1h9qeMNQkp0Jcc9YftJ9,3,50,"response unknown (+10); phone (+15); in GHL, never emailed (+15)",,,
93,Boyd's Blinds,Shades & Blinds,,,,,https://www.yelp.com/biz/boyds-blinds-phoenix,3 hrs,3,call_now,https://app.gohighlevel.com/v2/location/JLycxFbUVQFY3z4zPpCS/contacts/detail/mqQnYEQ7KPGs6YCrg0tn,4,50,"responds in 3h (+20); sequence finished, warm (+20)",,,
94,Clean Rite Window Service,Window Cleaning,,,,,https://www.yelp.com/biz/clean-rite-window-service-goodyear,12 hours,12,not_in_ghl,,3,50,responds in 12h (+30); not in GHL yet (+10),,,
95,Crew Of Two Phoenix,Plumbers,Virginia A.,(480) 217-2788,,crewoftwophoenix.com,https://www.yelp.com/biz/crew-of-two-phoenix-phoenix-3,2 hours,2,not_in_ghl,,3,50,"responds in 2h, already fast (+5); phone (+15); website (+10); not in GHL yet (+10)",,,
96,Friendly Professional Landscaping,Landscaping,,,,,https://www.yelp.com/biz/friendly-professional-landscaping-phoenix,6 hours,6,not_in_ghl,,4,50,responds in 6h (+30); not in GHL yet (+10),,,
97,Garcia's Handyman,Handyman,Jesús Garcia,,,,https://www.yelp.com/biz/garcias-handyman-phoenix-2,9 hrs,9,not_in_ghl,,4,50,responds in 9h (+30); not in GHL yet (+10),,,
98,Gibson's,General Contractors,,,,,https://www.yelp.com/search?cflt=contractors&find_loc=Phoenix%2C+AZ,12 hours,12,not_in_ghl,,4,50,responds in 12h (+30); not in GHL yet (+10),,,
99,Haley's Landscaping and Home Services,Landscaping,,602-642-7477,,,https://www.yelp.com/biz/haleys-landscaping-and-home-services-phoenix,Unknown - needs verification,,never_emailed,https://app.gohighlevel.com/v2/location/JLycxFbUVQFY3z4zPpCS/contacts/detail/GGcKi8a7psIt7Sn3uJ6N,4,50,"response unknown (+10); phone (+15); in GHL, never emailed (+15)",,,
100,Hammertime Handyman Services,Handyman,,,,,https://www.yelp.com/biz/hammertime-handyman-services-tempe-5,2 days,48,not_in_ghl,,2,50,responds in 2d (+40); not in GHL yet (+10); CSV scored 2/5 (-10),,,
101,K & J Windows,Windows and Doors,Unknown,,,,https://www.yelp.com/biz/k-and-j-windows-phoenix,6 hours,6,not_in_ghl,,4,50,responds in 6h (+30); not in GHL yet (+10),,,
102,Mariano's Landscaping Maintenance,Landscaping,,,,,https://www.yelp.com/biz/marianos-landscaping-maintenance-phoenix-3,11 hours,11,not_in_ghl,,4,50,responds in 11h (+30); not in GHL yet (+10),,,
103,Nate's Extreme Handyman Services,Handyman,,,,,https://www.yelp.com/biz/nates-extreme-handyman-services-phoenix,11 hours,11,not_in_ghl,,3,50,responds in 11h (+30); not in GHL yet (+10),,,
104,Nombrano Construction,General Contractor,,,,,https://www.yelp.com/biz/nombrano-construction-phoenix,10 hours,10,not_in_ghl,,4,50,responds in 10h (+30); not in GHL yet (+10),,,
105,Phoenix Commercial Glazing Contractor,Windows & Doors,,,,,https://downtobid.com/contractors/glazing/phoenix,3 days,72,not_in_ghl,,2,50,responds in 3d (+40); not in GHL yet (+10); CSV scored 2/5 (-10),,,
106,Phoenix General Contractor,General Contractor,,,,,https://m.yelp.com/search?cflt=contractors&find_loc=Dmg+Financial%2C+Phoenix%2C+AZ+85050,1 day,24,not_in_ghl,,2,50,responds in 1d (+40); not in GHL yet (+10); CSV scored 2/5 (-10),,,
107,Quick Response Garage Door Service,Garage Door Repair,,,,https://quickresponsegaragedoorservice.com/,,3 hours,3,not_in_ghl,,4,50,responds in 3h (+20); website (+10); not in GHL yet (+10),,,
108,Sunny State Glass,Windows and Doors,,,,,https://www.yelp.com/biz/sunny-state-glass-phoenix,8 hours,8,not_in_ghl,,3,50,responds in 8h (+30); not in GHL yet (+10),,,
109,AZ Window Cleaners,Window Cleaning,Unknown,(602) 663-9326,,phoenixwindowcleaning.com,https://www.yelp.com/biz/az-window-cleaners-phoenix,Unknown,,not_in_ghl,,4,45,response unknown (+10); phone (+15); not in GHL yet (+10),,,
110,Krystal Clear Windows,Window Cleaning,,(602) 513-3790,,,https://www.yelp.com/biz/krystal-clear-windows-phoenix,Unknown,,not_in_ghl,,3,45,response unknown (+10); phone (+15); not in GHL yet (+10),,,
111,Old Reliable Construction,General Contractors,,(602) 935-1485,,,,Not specified,,not_in_ghl,,3,45,response unknown (+10); phone (+15); not in GHL yet (+10),,,
112,Phoenix Landscapers,Landscaping,,480-428-3592,,,https://www.yelp.com/biz/phoenix-landscapers-phoenix,Unknown - needs verification,,not_in_ghl,,3,45,response unknown (+10); phone (+15); not in GHL yet (+10),,,
113,Reds Rooter,Plumbers,Marty H.,(602) 516-0041,,,https://www.yelp.com/biz/reds-rooter-phoenix,1 week,168,not_in_ghl,,2,45,responds in 7d (+40); phone (+15); not in GHL yet (+10); CSV: no website (-10); CSV: low digital adoption (-10); CSV scored 2/5 (-10),,,
114,Vision Windows & Doors,Windows and Doors,Craig H.,(602) 430-7614,,,https://www.yelp.com/biz/vision-windows-and-doors-phoenix-3,2 hrs,2,never_emailed,https://app.gohighlevel.com/v2/location/JLycxFbUVQFY3z4zPpCS/contacts/detail/Z0ElHdOSm6LA56tUPNuQ,4,45,"responds in 2h, already fast (+5); phone (+15); in GHL, never emailed (+15)",,,
115,Lucas Lawn and Yard Care,Lawn Care,,,,,,8 hrs,8,not_in_ghl,,4,43,responds in 8h (+30); category 'Lawn Care' outside core trades (+3); not in GHL yet (+10),,,
116,Phoenix Awning Company,Awnings,,,,,https://www.yelp.com/search?cflt=awnings&find_loc=Ahwatukee+Foothills+Village%2C+Phoenix%2C+AZ,12 hrs,12,not_in_ghl,,3,43,responds in 12h (+30); category 'Awnings' outside core trades (+3); not in GHL yet (+10),,,
117,Valleywide Glass,Glass & Mirrors,,,,,https://www.yelp.com/biz/valleywide-glass-phoenix-6,12 hours,12,not_in_ghl,,3,43,responds in 12h (+30); category 'Glass & Mirrors' outside core trades (+3); not in GHL yet (+10),,,
118,A to Z Shades,Shades & Blinds,,,,https://atozshadesandshutters.com/,,Unknown - needs verification,,not_in_ghl,,4,40,response unknown (+10); website (+10); not in GHL yet (+10),,,
119,Apodaca's Glass & Door,Windows and Doors,,,,,https://www.yelp.com/biz/apodacas-glass-and-door-phoenix-2,3 hours,3,not_in_ghl,,4,40,responds in 3h (+20); not in GHL yet (+10),,,
120,Austin Pierce Designs,Shades & Blinds,Austin Pierce,,,,https://www.yelp.com/search?find_desc=Custom+Window+Treatments&find_loc=Maricopa%2C+AZ,5 hours,5,not_in_ghl,,4,40,responds in 5h (+20); not in GHL yet (+10),,,
121,AZ Empire Landscaping,Landscaping,,,,,,4 hrs,4,not_in_ghl,,3,40,responds in 4h (+20); not in GHL yet (+10),,,
122,AZ Home Repair Specialists,Handyman/Drywall/Lighting,Steve B.,,,,https://www.yelp.com/biz/az-home-repair-specialists-phoenix,4 hrs,4,not_in_ghl,,4,40,responds in 4h (+20); not in GHL yet (+10),,,
123,Better Than New Contractors,General Contractors,,,,,https://www.yelp.com/search?find_desc=Contractors&find_loc=Phoenix%2C+AZ,10 hours,10,not_in_ghl,,2,40,responds in 10h (+30); not in GHL yet (+10); CSV scored 2/5 (-10),,,
124,Cactus Curbing and Landscaping,Landscaping,,,,,,4 hours,4,not_in_ghl,,3,40,responds in 4h (+20); not in GHL yet (+10),,,
125,Clear as Days,Window Cleaning,,,,,https://www.yelp.com/biz/clear-as-days-glendale,3 hrs,3,not_in_ghl,,3,40,responds in 3h (+20); not in GHL yet (+10),,,
126,Five Star Property Maintenance,"Window Washing, Landscaping, Tree Services",,,,,https://www.yelp.com/biz/five-star-property-maintenance-phoenix,3+ hours,3,not_in_ghl,,4,40,responds in 3h (+20); not in GHL yet (+10),,,
127,Holtzman Remodeling,General Contractors,,,,,https://www.yelp.com/search?cflt=contractors&find_loc=Phoenix%2C+AZ,4+ hours,4,not_in_ghl,,5,40,responds in 4h (+20); not in GHL yet (+10),,,
128,Honest Handyman Service,Handyman,,,,,https://www.yelp.com/biz/honest-handyman-service-phoenix,5 hours,5,not_in_ghl,,4,40,responds in 5h (+20); not in GHL yet (+10),,,
129,iFixPhx,Handyman/Roofing/Pressure Washing,,,,,https://www.yelp.com/biz/ifixphx-glendale,4 hrs,4,not_in_ghl,,4,40,responds in 4h (+20); not in GHL yet (+10),,,
130,KO's Landscaping,Landscaping,,,,,https://www.yelp.com/biz/kos-landscaping-glendale-4,3 hrs,3,not_in_ghl,,3,40,responds in 3h (+20); not in GHL yet (+10),,,
131,Krasiva Windows and Doors,Windows and Doors,Unknown,,,,https://www.yelp.com/biz/krasiva-windows-and-doors-phoenix,11 hrs,11,running,https://app.gohighlevel.com/v2/location/JLycxFbUVQFY3z4zPpCS/contacts/detail/TQF4VVV5ztJEcTxnqsIl,5,40,responds in 11h (+30); sequence running (0),,,
132,Liberty Awnings and Shades,Awnings & Shades,,,,,https://www.yelp.com/biz/liberty-awnings-and-shades-phoenix,3 hrs,3,not_in_ghl,,4,40,responds in 3h (+20); not in GHL yet (+10),,,
133,Luxury Turf and Green,Landscaping,,,,,https://www.yelp.com/search?cflt=landscaping&find_loc=Phoenix%2C+AZ+85028,3 hours,3,not_in_ghl,,4,40,responds in 3h (+20); not in GHL yet (+10),,,
134,Marshall Renovations,Contractors,John,,,,https://www.yelp.com/biz/marshall-renovations-tempe,3 hours,3,not_in_ghl,,4,40,responds in 3h (+20); not in GHL yet (+10),,,
135,Phoenix Appliance Repair,Appliance Repair,,,,,https://www.yelp.com/biz/phoenix-appliance-repair-gilbert-2,5 hours,5,not_in_ghl,,4,40,responds in 5h (+20); not in GHL yet (+10),,,
136,Phoenix General Contractor (4hr response),General Contractor,,,,,https://www.yelp.com/search?cflt=contractors&find_loc=Phoenix%2C+AZ,4 hrs,4,not_in_ghl,,4,40,responds in 4h (+20); not in GHL yet (+10),,,
137,Phoenix Home Remodeling,General Contractors,,,,,https://www.yelp.com/biz/phoenix-home-remodeling-chandler-2,3 hours,3,not_in_ghl,,4,40,responds in 3h (+20); not in GHL yet (+10),,,
138,Phoenix HVAC Contractor,HVAC,,,,,https://www.yelp.com/search?cflt=hvac&find_loc=Phoenix%2C+AZ,3 hours,3,not_in_ghl,,4,40,responds in 3h (+20); not in GHL yet (+10),,,
139,"Phoenix Shades, Shutters and Drapery",Shades & Blinds,,,,,https://www.yelp.com/biz/phoenix-shades-shutters-and-drapery-peoria,3+ hours,3,not_in_ghl,,4,40,responds in 3h (+20); not in GHL yet (+10),,,
140,R H Design & Build,General Contractors,,,,,https://www.yelp.com/biz/r-h-design-and-build-scottsdale,5 hrs,5,not_in_ghl,,4,40,responds in 5h (+20); not in GHL yet (+10),,,
141,Rebuild Contractors,General Contractors,,,,,https://www.yelp.com/search?cflt=contractors&find_loc=Phoenix%2C+AZ+85027,5 hours,5,not_in_ghl,,3,40,responds in 5h (+20); not in GHL yet (+10),,,
142,Smarter Home Flooring,Flooring,,,,,https://www.yelp.com/biz/smarter-home-flooring-phoenix,3 hours,3,not_in_ghl,,4,40,responds in 3h (+20); not in GHL yet (+10),,,
143,Stellar Home Services,General Contractors,,,,,https://www.yelp.com/search?cflt=contractors&find_loc=Phoenix%2C+AZ,3+ hours,3,not_in_ghl,,4,40,responds in 3h (+20); not in GHL yet (+10),,,
144,Sunburst Shutters Phoenix,Shades & Blinds,,,,https://www.sunburstshuttersaz.com/,,Unknown - needs verification,,not_in_ghl,,4,40,response unknown (+10); website (+10); not in GHL yet (+10),,,
145,Sunset Pools,Pool Services,,,,,,3 hrs,3,not_in_ghl,,3,40,responds in 3h (+20); not in GHL yet (+10),,,
146,Torus Landscape,Landscaping,,,,,,3 hrs,3,not_in_ghl,,4,40,responds in 3h (+20); not in GHL yet (+10),,,
147,Valle Verde Lawn Care,Landscaping,,,,,https://www.yelp.com/search?cflt=landscaping&find_loc=Phoenix%2C+AZ,3+ hours,3,not_in_ghl,,4,40,responds in 3h (+20); not in GHL yet (+10),,,
148,Valley Paraiso,General Contractor,,,,,https://www.yelp.com/search?cflt=contractors&find_loc=Phoenix%2C+AZ,5 hrs,5,not_in_ghl,,4,40,responds in 5h (+20); not in GHL yet (+10),,,
149,,,,,admin@azlawns.com,,,,,not_in_ghl,,,38,response unknown (+10); email (+15); category '' outside core trades (+3); not in GHL yet (+10),,,
150,Anago Cleaning,Cleaning Services,,,,https://anagocleaning.com/phoenix/janitorial-services/movie-theaters/,,2 hours,2,not_in_ghl,,4,35,"responds in 2h, already fast (+5); website (+10); not in GHL yet (+10)",,,
151,Arizona Cooling and Heating Specialists LLC,HVAC,,,,https://www.arizonacoolingandheatingspecialistsllc.com,https://www.arizonacoolingandheatingspecialistsllc.com/service-areas/phoenix-az,90 minutes,1.5,not_in_ghl,,3,35,"responds in 1.5h, already fast (+5); website (+10); not in GHL yet (+10)",,,
152,AZ Remodel,Remodeling Contractors,,,azremodelpros@gmail.com,,https://www.yelp.com/search?find_desc=Construction+Contractor&find_loc=Phoenix%2C+AZ,3+ days,,running,https://app.gohighlevel.com/v2/location/JLycxFbUVQFY3z4zPpCS/contacts/detail/Ap9XBVFErjSGf9IrPvxC,4,35,response unknown (+10); email (+15); sequence running (0),,,
153,Budget Movers,Moving Services,,,,,https://www.yelp.com/biz/budget-movers-glendale-2,3 hours,3,not_in_ghl,,3,33,responds in 3h (+20); category 'Moving Services' outside core trades (+3); not in GHL yet (+10),,,
154,Busy Bees Concierge & Home Services,Home Organization / Concierge Services,Cheryl Fraeger,,,,https://www.yelp.com/biz/busy-bees-concierge-and-home-services-scottsdale-2,5 hrs,5,not_in_ghl,,3,33,responds in 5h (+20); category 'Home Organization / Concierge Services' outside core trades (+3); not in GHL yet (+10),,,
155,Moving At Ease,Moving Services,,,,,https://www.yelp.com/biz/moving-at-ease-scottsdale,4 hours,4,not_in_ghl,,3,33,responds in 4h (+20); category 'Moving Services' outside core trades (+3); not in GHL yet (+10),,,
156,GCM House Cleaning,Home Cleaning,Cristina H.,(602) 348-3071,,,https://www.yelp.com/biz/gcm-house-cleaning-phoenix,2 hours,2,not_in_ghl,,3,30,"responds in 2h, already fast (+5); phone (+15); not in GHL yet (+10); CSV: no website (-10)",,,
157,Ground Zero Landscape,Landscaping,Chad,,,http://www.groundzerolc.com/,https://www.yelp.com/biz/ground-zero-landscape-phoenix,Unknown,,running,https://app.gohighlevel.com/v2/location/JLycxFbUVQFY3z4zPpCS/contacts/detail/Iwj7XZW9PspoKK5VjFeW,4,30,response unknown (+10); website (+10); sequence running (0),,,
158,Hectors Framing and Construction,General Contractors,Hector,,,,https://www.yelp.com/search?cflt=contractors&find_loc=Phoenix%2C+AZ,3+ days,,not_in_ghl,,3,30,response unknown (+10); not in GHL yet (+10),,,
159,Morales Landscaping and Cleaning Services,Landscaping & Cleaning,,(602) 581-9230,,,https://www.yelp.com/biz/morales-landscaping-and-cleaning-services-phoenix-2,>2 hours,2,not_in_ghl,,2,30,"responds in 2h, already fast (+5); phone (+15); not in GHL yet (+10); CSV scored 2/5 (-10)",,,
160,North Canyon Roofing and Coating,Roofers,Eric T.,(602) 469-9479,,,https://www.yelp.com/biz/north-canyon-roofing-and-coating-glendale,2 hours,2,not_in_ghl,,3,30,"responds in 2h, already fast (+5); phone (+15); not in GHL yet (+10); CSV: no website (-10)",,,
161,Only One Pool Service,Pool Services,,,Onlyonepoolservice@gmail.com,,https://www.yelp.com/biz/only-one-pool-service-phoenix,40 minutes,0.7,dead,https://app.gohighlevel.com/v2/location/JLycxFbUVQFY3z4zPpCS/contacts/detail/NA9wh1TF0pO0vw6RsA6v,5,30,"responds in 0.666667h, already fast (+5); email (+15); no phone or email in GHL (0)",,,
162,TraVek Remodeling & Roofing,Remodeling Contractors,,,,,https://www.yelp.com/search?find_desc=Licensed+General+Contractor&find_loc=Phoenix%2C+AZ,3+ days,,not_in_ghl,,4,30,response unknown (+10); not in GHL yet (+10),,,
163,Window Installation Phoenix,Windows & Doors,,,,,https://www.yelp.com/search?find_desc=Window+Installation&find_loc=Phoenix%2C+AZ,4 hours,4,not_in_ghl,,2,30,responds in 4h (+20); not in GHL yet (+10); CSV scored 2/5 (-10),,,
164,Affordable Windows Plus Exteriors,Windows & Doors,,,,,https://www.yelp.com/biz/affordable-windows-plus-exteriors-gilbert-2,2 hours,2,not_in_ghl,,4,25,"responds in 2h, already fast (+5); not in GHL yet (+10)",,,
165,Blackjacket Surface Cleaning And Soft Wash,Window Cleaning,,,,,https://www.yelp.com/biz/blackjacket-surface-cleaning-and-soft-wash-phoenix,2 hrs,2,not_in_ghl,,3,25,"responds in 2h, already fast (+5); not in GHL yet (+10)",,,
166,Energy Shield Windows Doors,Windows & Doors,,,,,https://www.m.yelp.com/search?find_desc=Doors+and+Windows&find_loc=Casa+Grande%2C+AZ,2 hrs,2,not_in_ghl,,5,25,"responds in 2h, already fast (+5); not in GHL yet (+10)",,,
167,G&S Landscaping,Landscaping,,,,,https://www.yelp.com/biz/g-and-s-landscaping-phoenix-3,30 minutes,0.5,not_in_ghl,,4,25,"responds in 0.5h, already fast (+5); not in GHL yet (+10)",,,
168,House of Shades,Shades & Blinds,,,,,https://www.yelp.com/search?find_desc=Blinds+Installation&find_loc=Phoenix%2C+AZ,40 mins,0.7,not_in_ghl,,5,25,"responds in 0.666667h, already fast (+5); not in GHL yet (+10)",,,
169,Pro-Service Landscaping & Construction,Landscaping,,,,,https://www.yelp.com/biz/pro-service-landscaping-and-construction-phoenix-2,2 hours,2,not_in_ghl,,4,25,"responds in 2h, already fast (+5); not in GHL yet (+10)",,,
170,Window Treatments Selection Phoenix,Shades & Blinds,,,,,https://www.yelp.com/search?find_desc=Window+Treatments+Selection&find_loc=Phoenix%2C+AZ,2 hours,2,not_in_ghl,,3,25,"responds in 2h, already fast (+5); not in GHL yet (+10)",,,
171,Johnny Phoenix Locksmith,Locksmith,,,,,,2 hours,2,not_in_ghl,,4,18,"responds in 2h, already fast (+5); category 'Locksmith' outside core trades (+3); not in GHL yet (+10)",,,
172,Desert King Windows,Windows & Doors,,,,,https://www.yelp.com/biz/desert-king-windows-phoenix-2,10 minutes,0.2,not_in_ghl,,1,15,"responds in 0.166667h, already fast (+5); not in GHL yet (+10); CSV scored 1/5 (-10)",,,
173,Phoenix Sliding Doors,Windows & Doors,,,,,https://www.yelp.com/biz/phoenix-sliding-doors-phoenix-2,50 minutes,0.8,not_in_ghl,,2,15,"responds in 0.833333h, already fast (+5); not in GHL yet (+10); CSV scored 2/5 (-10)",,,
174,AZ Home Glow,Home Organization,,,,,https://www.yelp.com/search?find_desc=Home+Organization&find_loc=Phoenix%2C+AZ,50 minutes,0.8,not_in_ghl,,2,8,"responds in 0.833333h, already fast (+5); category 'Home Organization' outside core trades (+3); not in GHL yet (+10); CSV scored 2/5 (-10)",,,
